 English , French , Spanish
 exhibition , l'exposition , exposición
 existence , l'existence , existencia
 expense , frais , gastos
 explanation , l'explication , explicación
 fact , fait , hecho
 fall , baisse , caída
 fear , crainte , miedo
 flight , vol , vuelo
 fold , pli , pliegue
 food , nourriture , alimento
 force , force , fuerza
 friend , l'ami , amigo
 friendship , l'amitié , amistad
 frontier , frontière , frontera
 fuel , combustible , combustible
 future , l'avenir , futuro
 game , jeu , juego
 gesture , geste , gesto
 gland , glande , glándula
 government , gouvernement , gobierno
 gratitude , reconnaissance , gratitud
 group , groupe , grupo
 growth , croissance , crecimiento
 half , moitié , mitad
 happiness , bonheur , felicidad
 haste , hâte , prisa
 hate , haine , odio
 health , santé , salud
 heap , tas , montón
 hearing , l'ouïe , oído
 heat , chaleur , calor
 height , hauteur , altura
 history , l'histoire , historia
 hole , trou , agujero
 honor , l'honneur , honor
 hope , l'espoir , esperanza
 hunger , la faim , hambre
 idea , l'idée , idea
 improvement , l'amélioration , mejoramiento
 impulse , l'impulsion , impulso
 inhabitant , l'habitant , habitante
 instrument , l'instrument , instrumento
 insurance , l'assurance , seguro
 interest , l'intérêt , interés
 jealousy , la jalousie , celos
 joke , la plaisanterie , broma
 journey , le voyage , viaje
 joy , la joie , alegría
 judgment , jugement , juicio
 jump , saut , salto
 kind , genre , género
 kiss , baiser , beso
 knot , nœud , nudo
 knowledge , connaissance , conocimiento
 language , langue , lengua
 laughter , rire , risa
 law , loi , ley
 laziness , paresse , pereza
 lecture , conférence , conferencia
 length , longueur , longitud
 lesson , leçon , lección
 level , niveau , nivel
 lie , mensonge , mentira
 life , vie , vida
 line , ligne , línea
 liquid , liquide , líquido
 list , liste , lista
 load , charge , carga
 look , regard , mirada
 loss , perte , pérdida
 love , l'amour , amor
 luxury , luxe , lujo
 machine , machine , máquina
 majority , majorité , mayoría
 manager , directeur , director
 manner , manière , manera
 mark , marque , marca
 mass , masse , masa
 material , matériel , material
 matter , matière , materia
 means , moyen , medio
 measure , mesure , medida
 meeting , réunion , reunión
 member , membre , miembro
 memory , mémoire , memoria
 method , méthode , método
 middle , centre , medio
 minority , minorité , minoría
 mixture , mélange , mezcla
 money , l'argent , dinero
 mood , l'humeur , humor
 movement , mouvement , movimiento
 native land , patrie , patria
 nature , nature , naturaleza
 navy , marine , marina
 noise , bruit , ruido
 notice , l'avis , aviso
 number , nombre , número
 object , l'objet , objeto
 offer , l'offre , oferta
 order , l'ordre , orden
 origin , l'origine , origen
 owner , propriétaire , propietario
 pain , douleur , dolor
 painting , peinture , pintura
 part , partie , parte
 party , parti , partido
 past , passé , pasado
 peace , paix , paz
 people , gens , gente
 person , personne , persona
 piece , morceau , pedazo
 place , l'endroit , lugar
 plant , plante , planta
 pleasure , plaisir , placer
 poetry , poésie , poesía
 poison , poison , veneno
 politeness , politesse , cortesía
 politics , politique , política
 population , population , población
 poverty , pauvreté , pobreza
 power , pouvoir , poder
 practice , l'exercice , ejercicio
 prejudice , prejugé , perjuicio
 present , cadeau , regalo
 pressure , pression , presión
 price , prix , precio
 prize , prix , premio
 problem , problème , problema
 product , produit , producto
 progress , progrès , progreso
 proof , preuve , prueba
 property , propriété , propiedad
 protest , protestation , protesta
 punishment , la punition , castigo
 purchase , l'achat , compra
 purpose , but , objeto
 question , question , pregunta
 race , race , raza
 ray , rayon , rayo
 reason , raison , razón
 receipt , reçu , recibo
 recollection , souvenir , recuerdo
 refusal , refus , negativa
 remainder , reste , resto
 remedy , remède , remedio
 report , rapport , informe
 request , demande , petición
 respect , respect , respeto
 rest , repos , descanso
 result , résultat , resultado
 revenge , vengeance , venganza
 reward , récompense , recompensa
 right , droit , derecho
 risk , risque , riesgo
 rule , règle , regla
 sadness , tristesse , tristeza
 safety , sureté , seguridad
 sale , vente , venta
 sample , l'échantillon , muestra
 scale , l'échelle , escala
 science , science , ciencia
 sense , sens , sentido
 sentence , phrase , frase
 shame , honte , vergüenza
 side , côté , lado
 sight , vue , vista
 sign , signe , señal
 size , grandeur , tamaño
 sleep , sommeil , sueño
 smell , l'odeur , olor
 smile , sourir , sonrisa
 song , chanson , canción
 sound , son , sonido
 space , l'espace , espacio
 speech  , discours , discurso
 speed , vitesse , velocidad
 sport , sport , deporte
 square , carré , cuadrado
 state , l'état , estado
 step , passé , paso
 strike , grève , huelga
 struggle , lutte , lucha
 study , l'étude , estudio
 success , succès , éxito
 sum , somme , suma
 summary , résumé , resumen
 summit , sommet , cumbre
 surface , surface , superficie
 surprise , surprise , sorpresa
 suspicion , soupçon , sospecha
 swindle , l'escroquerie , estafa
 system , système , sistema
 task , tâche , tarea
 taste , goût , gusto
 tax , l'impôt , impuesto
 test , l'épreuve , prueba
 thanks , remerciements , gracias
 theft , vol , robo
 thing , chose , cosa
 thirst , soif , sed
 tone , ton , tono
 touch , toucher , tacto
 toy , jouet , juguete
 trade , commerce , comercio
 translation , traduction , traducción
 transport , transport , transporte
 treatment , traîtement , tratamiento
 treaty , traité , tratado
 trial , procès , proceso
 truth , vérité , verdad
 use , l'emploi , uso
 value , valeur , valor
 vessel , vaisseau , vasija
 victory , victoire , victoria
 voice , voix , voz
 wages , salaire , salario
 walk , promenade , paseo
 want , manque , falta
 war , guerre , guerra
 wealth , richesse , riqueza
 weapon , l'arme , arma
 weight , poids , peso
 width , largeur , anchura
 will , volonté , voluntad
 wish , souhait , deseo
 word , mot , palabra
 work , travail , trabajo
 world , monde , mundo
 youth , jeunesse , juventud
 zeal , zèle , celo
 accountant  , comptable , contador
 actor  , l'acteur , actor
 actress  , l'actrice , actriz
 architect  , l'architecte , arquitecto
 author  , l'écrivain , autor
 baker , boulanger , panadero
 bookseller , libraire , librero
 businessman , commerçant , comerciante
 butcher , boucher , carnicero
 programmer , programmeur , programador
 cook , cuisinier , cocinero
 customer , client , cliente
 dentist , dentiste , dentista
 doctor , docteur , doctor
 electrician , l'électricien , electricista
 employee , l'employé , empleado
 engineer , l'ingénieur , ingeniero
 firefighter , pompier , bombero
 fisherman , pêcheur , pescador
 gardener , jardinier , jardinero
 hair stylist ,  coiffeur , peluquero
 jeweler , bijoutier , joyero
 journalist , journaliste , periodista
 judge , juge , juez
 lawyer , l'avocat , abogado
 librarian , bibliothécaire , bibliotecario
 mason , maçon , albañil
 mechanic , mécanicien , mecánico
 model , mannequin , modelo
 musician , musicien , músico
 nurse , l'infirmier , enfermero
 officer , l'officier , funcionario
 optician , l'opticien , óptico
 painter , peintre , pintor
 pharmacist , chimiste , químico
 photographer , photographe , fotógrafo
 plumber , plombier , fontanero
 policeman , policier , policía
 postman , facteur , cartero
 priest , curé , cura
 publisher , l'éditeur , editor
 salesman , vendeur , vendedor
 scientist , scientifique , científico
 servant , domestique , criado
 shoemaker , cordonnier , zapatero
 singer , chanteur , cantante
 soldier , soldat , soldado
 student , l'étudiant , estudiante
 surgeon , chirurgien , cirujano
 tailor , tailleur , sastre
 teacher , professeur , profesor
 typist , dactylographe , mecanógrafa
 waiter , serveur , camarero
 watchmaker , l'horloger , relojero
 worker , l'ouvrier , obrero
 money , l'argent , dinero
 bill  , billet , billete
 credit card , carte de crédit , tarjeta de crédito
 checkbook , carnet de chèques , talonario de cheques
 check , chèque , cheque
 change purse , porte-monnaie , monedero
 wallet , portefeuille , cartera
 purse , bourse , borso
 bus , l'autobus , autobús
 airplane , l'avion  , avión
 ship , navire , barco
 boat , bateau , barca
 motorcycle , motocyclette , motocicleta
 automobile , l'automobile , automóvil
 streetcar , tram , tranvía
 moped , mobylette , ciclomotor
 bicycle , bicyclette , bicicleta
 car , voiture , coche
 taxi , taxi , taxi
 minivan , minivan , miniván
 ambulance , l'ambulance , ambulancia
 fire engine , pompe à incendie , bomba de incendios
 tractor , tracteur , tractor
 trailer , remorque , remolque
 arrival , l'arrivée  , llegada
 baggage , les bagages , equipaje
 baggage car , fourgon , furgón
 car , wagon , coche
 compartment , compartiment , departamento
 connection , correspondance , empalme
 customs , douane , aduana
 delay , retard , retraso
 departure , départ , partida
 engine , locomotive  , locomotora
 entrance , l'entrée  , entrada
 exit , sortie , salida
 guard , conducteur , guarda
 lavatory , cabinet , retrete
 passenger , voyageur , pasajero
 passport , passeport , pasaporte
 platform , quai , andén
 porter , porteur , mozo
 railway , chemin de fer , ferrocarril
 seat , place , asiento
 station , gare , estación
 stop , l'arrêt  , parada
 suitcase , valise , maleta
 ticket , billet , billete
 time table , l'horaire  , tempo tabela
 train , train , tren
 trunk , malle , baúl
 waiting room , salle d'attente , sala de espera
 anchor , l'ancre  , ancla
 boat , bateau , barca
 boiler , chaudière , caldera
 boom , bôme , botavara
 bows , l'avant  , proa
 bridge , passerelle , puente
 cabin , cabine , camarote
 captain , capitaine , capitan
 compass , boussole , brújula
 crew , l'équipage  , tripulación
 deck , pont , cubierta
 flag , pavillon , pabellón
 funnel , cheminée , chimenea
 hold , cale , cala
 hull , coque , casco
 keel , quille , quilla
 life boat , canot de sauvetage , bote salvavides
 lighthouse , phare , faro
 mainsail , grand-voile , vela mayor
 mast , mât , mástil
 oar , rame , remo
 porthole , hublot , ojo de buey
 propeller , l'hélice , hélica
 radar , radar , radar
 rudder , gouvernail , timón
 sail , voile , vela
 seaman , marin , marino
 seasickness , mal de mer , mareo
 ship , bateau , barco
 stern , l'arrière , popa
 tiller , barre , caña del timón
 tug , remorqueur , remolcador
 accelerator , l'accélérateur , acelerador
 air conditioning , climatisation , climatizador
 air hose , pompe à air , bomba de aire
 axle , l'essieu  , eje
 battery , batterie , batería
 body of car , carrosserie , carrocería
 brake , frein , freno
 brake light , feu de stop , luz del freno
 bulb , l'ampoule  , ampolleta
 bumper , pare-chocs , defensa
 chain , chaîne , cadena
 clutch , l'embrayage , embrague
 damage , l'avarie  , avería
 dashboard , tableau de bord , salpicadero
 door , portière , puerta
 driver's license , permis de conduire , permiso de conducir
 engine , moteur , el motor
 fender , l'aile , el parachoque
 gasoline , l'essence , gasolina
 gears , l'engrenage , engranaje
 headlight , phare , faro
 heater , chauffage , calentador
 hood , capot , cofre
 horn , klaxon , bocina
 horsepower , cheval vapeur , caballo de fuerza
 hubcap , l'enjoliveur , tapón
 ignition , l'allumage  , encendido
 lever , levier , palanca
 motor , moteur , motor
 mudguard , l'aile  , guarda barro
 oil , l'huile , aceite
 one way , sens unique , dirreción única
 pump , pompe , bomba
 puncture , crevaison , pinchazo
 side mirror , rétroviseur , espejo lateral
 spark , l'étincelle  , chispa
 spring , ressort , muelle
 starter , démarreur , arranque
 steering wheel , le volant , volante
 tire , pneu , llanta
 trunk , coffre , maletero
 tube , boyau , cámara d'aria
 valve , soupape , válvula
 wheel , roue , rueda
 window , vitre , ventanilla
 windshield , pare-brise , parabrisas
 wing , l'aile , ala
 cockpit , cockpit , cabina de politaje
 exit , sortie , salida
 nosewheel , roue de nez , tren delantero
 nose , nez , nariz
 fin , dérive , aleta
 window , hublot , ventanilla
 rudder , gouverne , timón
 tail , queue , cola
 fuselage , fuselage , fuselaje
 aileron , l'aileron , alerón
 engine , réacteur , motor
 landing gear , train d'atterrissage , tren de aterrizaje
 handlebar , guidon , manubrio
 tire , pneu , llanta
 pedal , pédale , pedal
 seat , selle , asiento
 brake , frein , freno
 reflector , cataphote , reflector
 spoke , rayon , rayo
 chain , chaîne , cadena
 gear lever , levier de vitesse , palanca de cambrio
 water bottle , bouteille d'eau , botella del agua
 athletics , l'athlétisme , atletismo
 basketball , basket , baloncesto
 boxing , boxe , boxeo
 cycling , cyclisme , ciclismo
 handball , hand , balonmano
 skating , patin , patínaje
 sailing , voile , vela
 skiing , ski , esquí
 soccer , football , fútbol
 surfing , surf , surf
 swimming , natation , natación
 volleyball , volley-ball , volibol
 water skiing , ski nautique , esquíaquático
 wrestling , lutte , lucha
 racket , raquette , raqueta
 string , corde , cuerda
 handle , manche , mango
 bat , batte , bate
 ball , ballon , balón
 golf clubs , clubs de golf , palos de golf
 golf ball , balle de golf , bola de golf
 glove , gant , manopla
 helmet , casque , casco
 banjo , banjo , banjo
 bassoon , basson , fagote
 bow , l'archet , arco
 cello , violoncello , violoncello
 clarinet , clarinette , clarinete
 cymbals , cymbales , platillos
 double bass , contrebasse , contrabajo
 drum , tambour , tambor
 English horn , cor anglais , corno inglés
 flute , flûte , flauta
 French horn , cor , corno de caza
 gong , gong , gong
 guitar , guitare , guitarra
 harp , harpe , arpa
 maracas , maracas , maracas
 oboe , hautbois , oboe
 piccolo , piccolo , flautin
 saxophone , saxophone , saxofón
 tambourine , tambourin , pandero
 triangle , triangle , triángulo
 trombone , trombone , trombón de varas
 trumpet , trompette , trompeta
 tuba , tuba , tuba
 viola , l'alto , viola
 violin , violon , violon
 xylophone , xylophone , xilófono
 air , l'air  , aire
 archipelago , l'archipel , archipiélago
 bank , rive , banco
 bay , baie , bahía
 barn , grange , granero
 beach , plage , playa
 branch , branche , rama
 bridge , pont , puente
 bud , bouton , capullo
 bush , buisson , arbusto
 cape , cap , cabo
 cave , caverne , cueva
 city , ville , ciudad
 climate , climat , clima
 cloud , nuage , nube
 coast , côte , costa
 comet , comète , cometa
 constellation , constellation , constelación
 country , pays , país
 countryside , campagne , campo
 current , courant , corriente
 daffodil , jonquille , narciso
 daisy , marguerite , margarita
 darkness , l'obscurité , oscuridad
 desert , désert , desierto
 dew , rosée , rocío
 dust , poussière , polvo
 earth , terre , tierra
 east , l'est , este
 farm , ferme , granja
 field , champ , campo
 flower , fleur , flor
 foam , l'écume  , espuma
 fog , brouillard , niebla
 foliage , feuillage , follaje
 forest , forêt , bosque
 frost , gelée , helada
 grass , l'herbe , hierba
 gulf , golfe , golfo
 hail , grêle , granizo
 hay , foin , heno
 high tide , marée haute , marea alta
 hill , colline , colina
 ice , glace , hielo
 island , I'île , isla
 isthmus , l'isthme , istmo
 jungle , jungle , jungla
 lake , lac , lago
 leaf , feuille , hoja
 light , lumière , luz
 lightning , l'éclair , relámpago
 lily , lis , azucena
 low tide , marée basse , marea baja
 meadow , pré , prado
 moon , lune , luna
 mountain , montagne , montaña
 mountain range , chaîne de montagnes , sierra
 river mouth , l'embouchure , desembocadura
 mud , vase , barro
 north , nord , norte
 peninsula , péninsule , península
 plain , plaine , llano
 planet , planète , planeta
 plant , plante , planta
 pond , l'étang , estanque
 pot , pot à fleurs , maceta
 rain , pluie , lluvia
 rainbow , l'arc-en-ciel , arco iris
 river , fleuve , río
 rock , rocher , roca
 root , racine , raíz
 sand , sable , arena
 sea , mer , mar
 shadow , l'ombre  , sombra
 sky , ciel , cielo
 snow , neige , nieve
 soil , terre , suelo
 south , sud , sur
 spring , source , fuente
 star , l'étoile , estrella
 stem , tige , tallo
 storm , tempête , tormenta
 strait , détroit , aprieto
 stream , ruisseau , arroyo
 street , rue , calle
 sun , soleil , sol
 sunflower , tournesol , girasol
 thaw , fonte , deshielo
 thunder , tonnerre , trueno
 tornado , tornade , tornado
 tree , l'arbre , árbol
 trunk , tronc , tronco
 tulip , tulipe , tulipán
 valley , vallée , valle
 view , vue , vista
 water , l'eau  , agua
 fresh water , l'eau douce , agua dulce
 salt water , l'eau salée , agua salada
 watering can , l'arrosoir  , regadera
 waterfall , cascade , cascada
 wave , l'onde  , ola
 weather , météo , tiempo
 west , l'ouest , oeste
 wind , vent , viento
 world , monde , mundo
 North Pole , pôle Nord , Polo Norte
 South Pole , pôle Sud , Polo Sur
 Northern Hemisphere , l'hémisphère nord  , hemisferio norte
 Soutern Hemisphere , l'hémisphère sud , hemisferio sur
 Arctic Circle , cercle polaire , círculo Polar Ártico
 equator , l'équateur , ecuador
 Arctic Ocean , l'océan Arctique , Océano Artico
 Atlantic Ocean , l'océan Atlantique , Océano Atlántico
 Pacific Ocean , l'océan Pacifique  , Océano Pacifico
 Indian Ocean , l'océan Indien , Océano Indico
 Caribbean Sea , mer des Antilles , Mar Caribe
 Mediterranean Sea , Méditerranée , Mar Mediterráneo
 North Sea , mer du Nord , Mar del Norte
 Red Sea , mer Rouge , Mar Rojo
 Black Sea , mer Noire , Mar Negro
 Mercury , Mercure , Mercurio
 Venus , Vénus , Venus
 Earth , Terre , Tierra
 Saturn , Saturne , Saturno
 Neptune , Neptuno , Neptuno
 Pluto , Pluton , Plutón
 bookbag , cartable , mochila
 folder , plieur , carpeta
 blackboard , tableau , pizarra
 book , livre , libro
 bookcase , bibliothèque , estantería para libros
 briefcase , serviette , maletín
 cabinet , placard , armario
 calculator , calculatrice , calculadora
 calendar , calendrier , calendario
 chair , chaise , silla
 chalk , craie , tiza
 crayon , crayon de couleur , crayón
 desk , bureau , escritorio
 dictionary , dictionnaire , diccionario
 drawer , tiroir , cajón
 envelope , l'enveloppe  , sobre
 eraser , gomme , goma
 exercise book , cahier , cuaderno
 glue , colle , pegamento
 ink , l'encre  , tinta
 lamp , lampe , lámpara
 map , carte , mapa
 news , nouvelles  , noticias
 newspaper , journal , períodico
 notebook , cahier , cuaderno
 novel , roman , novela
 paper , papier , papel
 pen , stylo , bolígrafo
 pencil , crayon , lápiz
 pencil case , trousse , estuche
 pencil sharpener , taille-crayon , sacapuntas
 periodical , revue , revista
 ruler , règle , regla
 scissors , ciseaux , unas tijeras
 sender , l'expéditeur , remitente
 sheet of paper , une feuille de papier , una hoja de papel
 stapler , l'agrafeuse  , grapadora
 text book , manuel , libro de texto
 typewriter , machine à écrire , máquina de escribir
 wastebasket , poubelle , papelaera
 computer , l'ordinateur , computadora
 laptop , portable , portátil
 monitor , moniteur , monitor
 keyboard , clavier , teclado
 mouse , souris , ratón
 printer , l'imprimante , impresora
 disk , disquette , disquete
 fax machine , télécopieur , fax
 photocopier , photocopieuse , fotocopiadora
 software , logiciel , software
 file , dossier , fichero
 external hard drive , disque dur externe , disco duro externo
 blender , mixeur , licuadora
 dishwasher	, Lave-vaisselle , lavajillas
 dryer , séchoir , secadora
 freezer , congélateur , congelador
 iron , fer à repasser , hierro
 microwave	, micro onde , microonda
 oven , four , horno
 toaster , grille-pain , tostador
 washer , machine à laver, lavadora
 water heater , chauffe-eau , calentador de agua
 natural , naturel, natural
 necessity , necesidad
 notice , avis , noticia
 obedience , obéissance , obediencia
 object , objet , objeto
 observatory , observatorio
 occasion , ocasión
 ocean , océano
 October , octubre
 office , oficina
 operation , operación
 ordinary , ordinario
 palace , palacio
 panic , pánico
 paper , papel
 park , parque
 part , parte
 patience , paciencia
 penguin , pingüino
 permanent , permanente
 photo , foto
 photograph , fotografía
 ranch , rancho
 really , realmente
 restaurant , restaurante
 rock , roca
 route , ruta
 secret , secreto
 September , septiembre
 series , serie
 sofa , sofá
 special , especial
 telephone , teléfono
 telescope , telescopio
 television , televisión
 terrible , terrible
 tomato , tomate
 totally , totalmente
 tourist , turista
 traffic , tráfico
 triple , triple
 trumpet , trompeta
 tube , tubo
 vegetables , vegetales
 version , versión
 volleyball , voleibol

